"MSDIAL_NAGlySer","[M-H]-","1","2","3","4","5","6"
"MSDIAL_NAGlySer 10:0/10:0;[M-H]-;CCCCCCCCCC(=O)OC(CCC)CCCCCC(=O)NCC(=O)NC(CO)C(O)=O;WTBCNCULEPSCHF-UHFFFAOYNA-N;C25H46N2O7","485.32323","283.1663","485.3232","467.3127","171.1391","251.1765","313.1769"
"MSDIAL_NAGlySer 10:0/11:0;[M-H]-;CCCCCCCCCC(=O)OC(CCCC)CCCCCC(=O)NCC(=O)NC(CO)C(O)=O;FZTTUYDGNYRNEX-UHFFFAOYNA-N;C26H48N2O7","499.33888","297.182","499.3389","481.3283","171.1391","265.1921","327.1925"
"MSDIAL_NAGlySer 10:0/12:0;[M-H]-;CCCCCCCCCC(=O)OC(CCCCC)CCCCCC(=O)NCC(=O)NC(CO)C(O)=O;ZQIRAOGMVQIICG-UHFFFAOYNA-N;C27H50N2O7","513.35453","311.1976","513.3546","495.344","171.1391","279.2078","341.2082"
"MSDIAL_NAGlySer 10:0/13:0;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCC)CCCCCC(=O)NCC(=O)NC(CO)C(O)=O;COQNXJZGIUEOFP-UHFFFAOYNA-N;C28H52N2O7","527.37018","325.2133","527.3702","509.3596","171.1391","293.2234","355.2238"
"MSDIAL_NAGlySer 10:0/13:1;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/CCC;XYNLHGBRWANSNS-LGMDPLHJNA-N;C28H50N2O7","525.35453","323.1976","525.3546","507.344","171.1391","291.2078","353.2082"
"MSDIAL_NAGlySer 10:0/14:0;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCC)CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O;FKMKWKWFSBOXPR-UHFFFAOYNA-N;C29H54N2O7","541.38583","339.2289","541.3858","523.3752","171.1391","307.2391","369.2395"
"MSDIAL_NAGlySer 10:0/14:1;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/CCCC;IHIKLOKLXUOTTD-JXAWBTAJNA-N;C29H52N2O7","539.37018","337.2133","539.3702","521.3596","171.1391","305.2234","367.2238"
"MSDIAL_NAGlySer 10:0/15:0;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC)CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O;XPIHLNGVOZQFIK-UHFFFAOYNA-N;C30H56N2O7","555.40148","353.2446","555.4015","537.3909","171.1391","321.2548","383.2552"
"MSDIAL_NAGlySer 10:0/15:1;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/CCCCC;JCDWTDFTLSNWHA-CYVLTUHYNA-N;C30H54N2O7","553.38583","351.2289","553.3858","535.3752","171.1391","319.2391","381.2395"
"MSDIAL_NAGlySer 10:0/16:0;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O;ZYTKALWOZYNCHY-UHFFFAOYNA-N;C31H58N2O7","569.41713","367.2602","569.4171","551.4066","171.1391","335.2704","397.2708"
"MSDIAL_NAGlySer 10:0/16:1;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/CCCCCC;MKIHRDPOLLILAC-SILNSSARNA-N;C31H56N2O7","567.40148","365.2446","567.4015","549.3909","171.1391","333.2548","395.2552"
"MSDIAL_NAGlySer 10:0/16:2;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/C\C=C/CCC;DTDZEPIVZWUPRL-OXCASOHBNA-N;C31H54N2O7","565.38583","363.2289","565.3858","547.3752","171.1391","331.2391","393.2395"
