"MSDIAL_OxPI","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PI 16:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC(O)CCCCCC;XDMRGMOGZCPNCJ-UHFFFAOYNA-N;C43H83O14P","853.54477","853.5448","281.2486","241.0119","255.2323","297.0381","299.2592","1"
"MSDIAL_PI 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCC1OC1CCCCCC;GXGQYWRIMNHGJC-UHFFFAOYNA-N;C43H81O14P","851.52912","851.5291","241.0119","255.2323","297.0381","297.2435","1","1"
"MSDIAL_PI 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;VBAUDSMBACMURZ-UHFFFAOYNA-N;C43H83O15P","869.53968","869.5397","279.233","297.2435","241.0119","255.2323","297.0381","315.2541"
"MSDIAL_PI 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;YCXYSFLFTDDCPM-HIXSDJFHNA-N;C43H81O14P","851.52912","851.5291","279.233","241.0119","255.2323","297.0381","297.2435","1"
"MSDIAL_PI 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;RFXWFSXEOSDRTI-GFMRDNFCNA-N;C43H79O14P","849.51347","849.5135","241.0119","255.2323","295.2279","297.0381","1","1"
"MSDIAL_PI 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;DEABKMVAMMBHMV-GFMRDNFCNA-N;C43H81O15P","867.52403","867.524","277.2173","295.2279","241.0119","255.2323","297.0381","313.2384"
"MSDIAL_PI 16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;KHPXECYDFMPJMP-ZQHSETAFNA-N;C43H81O16P","883.51895","883.5189","293.2122","311.2228","241.0119","255.2323","297.0381","329.2333"
"MSDIAL_PI 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;VCQUGGHDBKGPHY-RSQAHCHINA-N;C43H79O14P","849.51347","849.5135","277.2173","241.0119","255.2323","295.2279","297.0381","1"
"MSDIAL_PI 16:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;BHFPRRDZCFVEJF-RSQAHCHINA-N;C43H79O15P","865.50838","865.5084","275.2017","293.2122","241.0119","255.2323","297.0381","311.2228"
"MSDIAL_PI 16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GRFHQMYJBKCACM-XBRVMRCINA-N;C43H77O14P","847.49782","847.4978","275.2017","241.0119","255.2323","293.2122","297.0381","1"
