"MSDIAL_PI","[M+NH4]+","1","2"
"MSDIAL_PI 10:0;[M+NH4]+;CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;XHICZQQQPAQATK-UHFFFAOYNA-N;C19H35O13P","520.21535","243.1591","520.2153"
"MSDIAL_PI 11:0;[M+NH4]+;CCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FGPBCTLEMSBIQQ-UHFFFAOYNA-N;C20H37O13P","534.23100","257.1747","534.231"
"MSDIAL_PI 12:0;[M+NH4]+;CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WMGDGZNBLVACDJ-UHFFFAOYNA-N;C21H39O13P","548.24665","271.1904","548.2466"
"MSDIAL_PI 13:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;BGVSEDNIVPLYLR-UHFFFAOYNA-N;C22H41O13P","562.26230","285.2061","562.2623"
"MSDIAL_PI 14:0;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;PKNHRLMEOCDWOO-UHFFFAOYNA-N;C23H43O13P","576.27795","299.2217","576.278"
"MSDIAL_PI 15:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;CXKARNICNPAJTF-UHFFFAOYNA-N;C24H45O13P","590.29360","313.2373","590.2936"
"MSDIAL_PI 15:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;BMNZCPHOZNZQKT-WAYWQWQTNA-N;C24H43O13P","588.27795","311.2217","588.278"
"MSDIAL_PI 16:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;CGWWRLUYFWMGKX-UHFFFAOYNA-N;C25H47O13P","604.30925","327.253","604.3093"
"MSDIAL_PI 16:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FMNQZTPRYXGJIO-SREVYHEPNA-N;C25H45O13P","602.29360","325.2373","602.2936"
"MSDIAL_PI 17:0;[M+NH4]+;CCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MEXJOSBHHXJXPY-UHFFFAOYNA-N;C26H49O13P","618.32490","341.2686","618.3249"
"MSDIAL_PI 17:1;[M+NH4]+;CCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MABXDOHFWSZQPC-FPLPWBNLNA-N;C26H47O13P","616.30925","339.253","616.3093"
"MSDIAL_PI 18:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WHVLWEKRXXHHLO-UHFFFAOYNA-N;C27H51O13P","632.34055","355.2843","632.3406"
