"MSDIAL_PMeOH","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PMeOH 12:0_12:0;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCCCCCC;GDKSFGFXFSRNAA-UHFFFAOYNA-N;C28H55O8P","549.35622","199.1703","549.3562","367.1893","110.9853","167.0115","1","1"
"MSDIAL_PMeOH 12:0_13:0;[M-H]-;CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;YUFLVZHUASAADX-UHFFFAOYNA-N;C29H57O8P","563.37182","199.1703","213.1859","367.1892","381.2049","563.3718","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_13:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCC;XOKVYQLCNFHAFF-NTMALXAHNA-N;C29H55O8P","561.35622","199.1703","211.1703","367.1893","379.1893","561.3562","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_14:0;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;WHKMHJIZMOOFRC-UHFFFAOYNA-N;C30H59O8P","577.38752","199.1703","227.2015","367.1893","395.2206","577.3875","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_14:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCCC;MTQDMBPGJDCGAN-BENRWUELNA-N;C30H57O8P","575.37182","199.1703","225.1859","367.1892","393.2049","575.3718","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_15:0;[M-H]-;CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;WILRUICZJSBZLD-UHFFFAOYNA-N;C31H61O8P","591.40312","199.1703","241.2172","367.1892","409.2361","591.4031","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_15:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCCCC;KDVDVTILXOIHEU-OWBHPGMINA-N;C31H59O8P","589.38752","199.1703","239.2015","367.1893","407.2206","589.3875","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;FCMIICBAJOBXJL-UHFFFAOYNA-N;C32H63O8P","605.41882","199.1703","255.2328","367.1893","423.2519","605.4188","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_16:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCCCCC;NGEPTTQGSAJQDL-PFONDFGANA-N;C32H61O8P","603.40312","199.1703","253.2172","367.1892","421.2361","603.4031","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_16:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/C\C=C/CCC;QSIOCJXJDVEDSJ-VRFDNOBANA-N;C32H59O8P","601.38752","199.1703","251.2015","367.1893","419.2206","601.3875","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_16:3;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;YXMJSGVREBCBLN-FVINNNHONA-N;C32H57O8P","599.37182","199.1703","249.1859","367.1892","417.2049","599.3718","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_16:4;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;QHWUHJXYDFEEEY-SNTXPHDVNA-N;C32H55O8P","597.35622","199.1703","247.1703","367.1893","415.1893","597.3562","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;ADKJHJZGMXFIIH-UHFFFAOYNA-N;C33H65O8P","619.43442","199.1703","269.2484","367.1893","437.2675","619.4344","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_17:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCCCCCC;GPRRRTIRGFABPW-NXVVXOECNA-N;C33H63O8P","617.41882","199.1703","267.2328","367.1893","435.2519","617.4188","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_17:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;KIHHCXHZOASJMC-LYZHNOTLNA-N;C33H61O8P","615.40312","199.1703","265.2172","367.1892","433.2361","615.4031","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;IYPQTJNKDLQZBL-UHFFFAOYNA-N;C34H67O8P","633.45002","199.1703","283.2641","367.1892","451.2831","633.45","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_18:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCCCCCCC;PCBMYHANPBKKHS-MSUUIHNZNA-N;C34H65O8P","631.43442","199.1703","281.2484","367.1893","449.2675","631.4344","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_18:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC;NYQWKSQHEXRFKA-LEGDJLHINA-N;C34H63O8P","629.41882","199.1703","279.2328","367.1893","447.2519","629.4188","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_18:3;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;ODNLMQQVRVTOSC-FVINNNHONA-N;C34H61O8P","627.40312","199.1703","277.2172","367.1892","445.2361","627.4031","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_18:4;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC;VMCODSYCSWMXRA-NWEGVMSPNA-N;C34H59O8P","625.38752","199.1703","275.2015","367.1893","443.2206","625.3875","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_18:5;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;BGPCSJVVBQMOHB-PALZQEQZNA-N;C34H57O8P","623.37182","199.1703","273.1859","367.1892","441.2049","623.3718","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;YVDNGHHGGZDJGR-UHFFFAOYNA-N;C35H69O8P","647.46572","199.1703","297.2797","367.1893","465.2988","647.4657","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_19:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/CCCCCCCCC;BCYZEWIBBRCYBO-ZCXUNETKNA-N;C35H67O8P","645.45002","199.1703","295.2641","367.1892","463.2831","645.45","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_19:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCCC;SEXXWZXDXYPFQJ-NFYLBXPENA-N;C35H65O8P","643.43442","199.1703","293.2484","367.1893","461.2675","643.4344","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OC;BTOSDMIFMHZDQU-UHFFFAOYNA-N;C36H71O8P","661.48132","199.1703","311.2954","367.1892","479.3144","661.4813","110.9853","167.0115"
"MSDIAL_PMeOH 12:0_20:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC;LMXBXFIJPCMTRD-MSUUIHNZNA-N;C36H69O8P","659.46572","199.1703","309.2797","367.1893","477.2988","659.4657","110.9853","167.0115"
