OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(14:0_14:0_20:4(Ke_or_Epoxy))+NH4,830.6868304,795.6497104,585.4513564,585.4513564,495.4407764
OxTG(14:0_14:0_20:4(Ke_or_Epoxy))+NH4,830.6868304,795.6497104,585.4513564,585.4513564,495.4407764
OxTG(14:0_14:1_20:4(Ke_or_Epoxy))+NH4,828.6712304,793.6341104,583.4357564,585.4513564,493.4251764
OxTG(14:0_16:0_20:4(Ke_or_Epoxy))+NH4,858.7181304,823.6810104,613.4826564,585.4513564,523.4720764
OxTG(14:0_16:1_20:4(Ke_or_Epoxy))+NH4,856.7025304,821.6654104,611.4670564,585.4513564,521.4564764
OxTG(14:0_18:0_20:4(Ke_or_Epoxy))+NH4,886.7494304,851.7123104,641.5139564,585.4513564,551.5033764
OxTG(14:0_18:1_20:4(Ke_or_Epoxy))+NH4,884.7338304,849.6967104,639.4983564,585.4513564,549.4877764
OxTG(14:0_18:2_20:4(Ke_or_Epoxy))+NH4,882.7181304,847.6810104,637.4826564,585.4513564,547.4720764
OxTG(14:0_18:3_20:4(Ke_or_Epoxy))+NH4,880.7025304,845.6654104,635.4670564,585.4513564,545.4564764
OxTG(14:0_18:4_20:4(Ke_or_Epoxy))+NH4,878.6868304,843.6497104,633.4513564,585.4513564,543.4407764
OxTG(14:0_20:4_20:4(Ke_or_Epoxy))+NH4,906.7181304,871.6810104,661.4826564,585.4513564,571.4720764
OxTG(14:0_20:5_20:4(Ke_or_Epoxy))+NH4,904.7025304,869.6654104,659.4670564,585.4513564,569.4564764
OxTG(14:0_22:5_20:4(Ke_or_Epoxy))+NH4,932.7338304,897.6967104,687.4983564,585.4513564,597.4877764
OxTG(14:0_22:6_20:4(Ke_or_Epoxy))+NH4,930.7181304,895.6810104,685.4826564,585.4513564,595.4720764
OxTG(14:1_14:1_20:4(Ke_or_Epoxy))+NH4,826.6556304,791.6185104,583.4357564,583.4357564,491.4095764
OxTG(14:1_16:0_20:4(Ke_or_Epoxy))+NH4,856.7025304,821.6654104,613.4826564,583.4357564,521.4564764
OxTG(14:1_16:1_20:4(Ke_or_Epoxy))+NH4,854.6869304,819.6498104,611.4670564,583.4357564,519.4408764
OxTG(14:1_18:0_20:4(Ke_or_Epoxy))+NH4,884.7338304,849.6967104,641.5139564,583.4357564,549.4877764
OxTG(14:1_18:1_20:4(Ke_or_Epoxy))+NH4,882.7182304,847.6811104,639.4983564,583.4357564,547.4721764
OxTG(14:1_18:2_20:4(Ke_or_Epoxy))+NH4,880.7025304,845.6654104,637.4826564,583.4357564,545.4564764
OxTG(14:1_18:3_20:4(Ke_or_Epoxy))+NH4,878.6869304,843.6498104,635.4670564,583.4357564,543.4408764
OxTG(14:1_18:4_20:4(Ke_or_Epoxy))+NH4,876.6712304,841.6341104,633.4513564,583.4357564,541.4251764
OxTG(14:1_20:4_20:4(Ke_or_Epoxy))+NH4,904.7025304,869.6654104,661.4826564,583.4357564,569.4564764
OxTG(14:1_20:5_20:4(Ke_or_Epoxy))+NH4,902.6869304,867.6498104,659.4670564,583.4357564,567.4408764
OxTG(14:1_22:5_20:4(Ke_or_Epoxy))+NH4,930.7182304,895.6811104,687.4983564,583.4357564,595.4721764
OxTG(14:1_22:6_20:4(Ke_or_Epoxy))+NH4,928.7025304,893.6654104,685.4826564,583.4357564,593.4564764
OxTG(16:0_16:0_20:4(Ke_or_Epoxy))+NH4,886.7494304,851.7123104,613.4826564,613.4826564,551.5033764
OxTG(16:0_16:1_20:4(Ke_or_Epoxy))+NH4,884.7338304,849.6967104,611.4670564,613.4826564,549.4877764
OxTG(16:0_18:0_20:4(Ke_or_Epoxy))+NH4,914.7807304,879.7436104,641.5139564,613.4826564,579.5346764
OxTG(16:0_18:1_20:4(Ke_or_Epoxy))+NH4,912.7651304,877.7280104,639.4983564,613.4826564,577.5190764
OxTG(16:0_18:2_20:4(Ke_or_Epoxy))+NH4,910.7494304,875.7123104,637.4826564,613.4826564,575.5033764
OxTG(16:0_18:3_20:4(Ke_or_Epoxy))+NH4,908.7338304,873.6967104,635.4670564,613.4826564,573.4877764
OxTG(16:0_18:4_20:4(Ke_or_Epoxy))+NH4,906.7181304,871.6810104,633.4513564,613.4826564,571.4720764
OxTG(16:0_20:4_20:4(Ke_or_Epoxy))+NH4,934.7494304,899.7123104,661.4826564,613.4826564,599.5033764
OxTG(16:0_20:5_20:4(Ke_or_Epoxy))+NH4,932.7338304,897.6967104,659.4670564,613.4826564,597.4877764
OxTG(16:0_22:5_20:4(Ke_or_Epoxy))+NH4,960.7651304,925.7280104,687.4983564,613.4826564,625.5190764
OxTG(16:0_22:6_20:4(Ke_or_Epoxy))+NH4,958.7494304,923.7123104,685.4826564,613.4826564,623.5033764
OxTG(16:1_16:1_20:4(Ke_or_Epoxy))+NH4,882.7182304,847.6811104,611.4670564,611.4670564,547.4721764
OxTG(16:1_18:0_20:4(Ke_or_Epoxy))+NH4,912.7651304,877.7280104,641.5139564,611.4670564,577.5190764
OxTG(16:1_18:1_20:4(Ke_or_Epoxy))+NH4,910.7495304,875.7124104,639.4983564,611.4670564,575.5034764
OxTG(16:1_18:2_20:4(Ke_or_Epoxy))+NH4,908.7338304,873.6967104,637.4826564,611.4670564,573.4877764
OxTG(16:1_18:3_20:4(Ke_or_Epoxy))+NH4,906.7182304,871.6811104,635.4670564,611.4670564,571.4721764
OxTG(16:1_18:4_20:4(Ke_or_Epoxy))+NH4,904.7025304,869.6654104,633.4513564,611.4670564,569.4564764
OxTG(16:1_20:4_20:4(Ke_or_Epoxy))+NH4,932.7338304,897.6967104,661.4826564,611.4670564,597.4877764
OxTG(16:1_20:5_20:4(Ke_or_Epoxy))+NH4,930.7182304,895.6811104,659.4670564,611.4670564,595.4721764
OxTG(16:1_22:5_20:4(Ke_or_Epoxy))+NH4,958.7495304,923.7124104,687.4983564,611.4670564,623.5034764
